Electrochemical Behavior of Single-walled Carbon Nanotube Supercapacitors under Compressive Stress,Electrochemical behavior of single-walled carbon nanotube supercapacitors under compressive stress,,150,30.00%,30.00%
Electron microscopy characterization of the weld line zones of an inertia friction welded superalloy,Electron microscopy characterization of the weld line zones of an inertia friction welded superalloy,,13,100.00%,100.00%
A novel method to control agglomeration of ultrafine YAl 2 particles in YAl 2p/MgLiAl composite,A novel method to control agglomeration of ultrafine YAl 2 particles in YAl 2p/MgLiAl composite,Z Huang,6,100.00%,100.00%
Structure−Activity Relationship Analysis of Peptides Targeting the EphA2 Receptor,Structure− activity relationship analysis of peptides targeting the EphA2 receptor,,37,33.33%,30.00%
Experimental study on horizontal wellbore cleanout by rotating jets,Experimental study on horizontal wellbore cleanout by rotating jets,,10,100.00%,100.00%
Research on YAl 2 intermetallics particles reinforced Mg–14Li–3Al matrix composites,Research on YAl 2 intermetallics particles reinforced Mg–14Li–3Al matrix composites,,11,100.00%,100.00%
"Microstructural instability and embrittlement behaviour of an Al-lean, high-Nb γ-TiAl-based alloy subjected to a long-term thermal exposure in air","Microstructural instability and embrittlement behaviour of an Al-lean, high-Nb γ-TiAl-based alloy subjected to a long-term thermal exposure in air",,40,100.00%,100.00%
On the formation of serrated grain boundaries and fan type structures in an advanced polycrystalline nickel-base superalloy,On the formation of serrated grain boundaries and fan type structures in an advanced polycrystalline nickel-base superalloy,,35,100.00%,100.00%
Cyclic hexapeptide analogs of somatostatin containing bridge modifications: Syntheses and conformational analyses,Cyclic hexapeptide analogs of somatostatin containing bridge modifications,,33,58.33%,87.50%
Design and synthesis of a simplified inhibitor for XIAP-BIR3 domain,Design and synthesis of a simplified inhibitor for XIAP-BIR3 domain,FRP Crisóstomo,11,100.00%,100.00%
Microstructure and mechanical properties of YAl 2 reinforced MgLiAl composite,Microstructure and mechanical properties of YAl 2 reinforced MgLiAl composite,,19,100.00%,100.00%
Depletion Model of Aluminum in Bond Coat for Plasma-Sprayed Thermal Barrier Coatings,Depletion model of aluminum in bond coat for plasma-sprayed thermal barrier coatings,,2,33.33%,33.33%
Effects of temperature on oxidation behaviour of air plasma sprayed thermal barrier coatings,Effects of temperature on oxidation behaviour of air plasma sprayed thermal barrier coatings,HM Xu,0,100.00%,100.00%
Microstructure transformations of laser-surface-melted near-alpha titanium alloy,Microstructure transformations of laser-surface-melted near-alpha titanium alloy,Z Huang,8,100.00%,100.00%
Failure behavior of coated nickel-based superalloy under thermomechanical fatigue,Failure behavior of coated nickel-based superalloy under thermomechanical fatigue,,9,100.00%,100.00%
Differential Regulation of Bax and Bak by Anti-apoptotic Bcl2 Family Proteins BclB and Mcl-1,Differential regulation of Bax and Bak by anti-apoptotic Bcl-2 family proteins Bcl-B and Mcl-1,,126,57.14%,57.14%
Activity profiling of human deSUMOylating enzymes (SENPs) with synthetic substrates suggests an unexpected specificity of two newly characterized members of the family,Activity profiling of human deSUMOylating enzymes (SENPs) with synthetic substrates suggests an unexpected specificity of two newly characterized members of the …,M Drag,45,90.91%,95.24%
Thermal stability of Ti–44Al–8Nb–1B alloy,Thermal stability of Ti–44Al–8Nb–1B alloy,,34,100.00%,100.00%
Relationships between microstructure and mechanical properties of Ti–3Al–5Mo–5V alloy,Relationships between microstructure and mechanical properties of Ti–3Al–5Mo–5V alloy,Z Huang,15,100.00%,100.00%
Ordered ω phases in a 4Zr–4Nb-containing TiAl-based alloy,Ordered ω phases in a 4Zr–4Nb-containing TiAl-based alloy,,53,100.00%,100.00%
High temperature fatigue of friction welded joints in dissimilar nickel based superalloys,High temperature fatigue of friction welded joints in dissimilar nickel based superalloys,,30,100.00%,100.00%
Inertia Friction Welding Dissimilar Nickel-Based Superalloys Alloy 720Li to IN718,Inertia friction welding dissimilar nickel-based superalloys alloy 720Li to IN718,M Preuss M Karadge,55,40.00%,40.00%
Dynamic simulation of solid-state diffusion bonding,Dynamic simulation of solid-state diffusion bonding,,18,100.00%,100.00%
Crystal Structure and Structural Mechanism of a Novel Anti-Human Immunodeficiency Virus and D-Amino AcidContaining Chemokine,Crystal structure and structural mechanism of a novel anti-human immunodeficiency virus and D-amino acid-containing chemokine,Y Li,12,33.33%,33.33%
Stress-Induced Lattice Transit Behavior in a Cold-Rolled Cu-Al-Mn Two-Way Shape Memory Alloy,Stress-Induced Lattice Transit Behavior in a Cold-Rolled Cu-Al-Mn Two-Way Shape Memory Alloy,JJ Wang,0,100.00%,100.00%
Diffusion bonding of laser-surface-modified gamma titanium aluminide alloy to nickel-base casting alloy,Diffusion bonding of laser-surface-modified gamma titanium aluminide alloy to nickel-base casting alloy,,22,100.00%,100.00%
"Microwave-Assisted Solution-Phase Parallel Synthesis of 2,4,6Trisubstituted Pyrimidines","Microwave-assisted solution-phase parallel synthesis of 2, 4, 6-trisubstituted pyrimidines",J Wang,20,14.29%,11.11%
"Microwave-Assisted Reaction of 2′-Hydroxychalcones with Hydrazides to Synthesize Flavanone Hydrazone and 4,5 Dihydropyrazole Derivatives","Microwave-Assisted Reaction of 2 '-Hydroxychalcones with Hydrazides to Synthesize Flavanone Hydrazone and 4, 5-Dihydropyrazole Derivatives",,8,78.57%,73.33%
A hybrid waste-flow allocation model considering multiple stage and interval–fuzzy chance constraints,A hybrid waste-flow allocation model considering multiple stage and interval–fuzzy chance constraints,C Dong,6,100.00%,100.00%
A fuzzy-parameterised stochastic modelling system for predicting multiphase subsurface transport under dual uncertainties,A fuzzy-parameterised stochastic modelling system for predicting multiphase subsurface transport under dual uncertainties,GH Huang,0,100.00%,100.00%
Sensitive and renewable picloram immunosensor based onparamagnetic immobilisation,Sensitive and renewable picloram immunosensor based on paramagnetic immobilisation,Y Zhang,6,87.50%,77.78%
A grey linear programming approach for municipal solid waste management planning under uncertainty,A grey linear programming approach for municipal solid waste management planning under uncertainty,BW Baetz GG Patry,454,100.00%,100.00%
A putative lipase gene EXTRA GLUME1 regulates both empty-glume fate and spikelet development in rice,A putative lipase gene EXTRA GLUME1 regulates both empty‐glume fate and spikelet development in rice,D Xue Z Xing,63,93.33%,93.33%
Hereditary behavior of bar gene cassette is complex in rice mediated by particle bombardment,Hereditary behavior of bar gene cassette is complex in rice mediated by particle bombardment,,22,100.00%,100.00%
"Map-based cloning of the ALK gene, which controls the gelatinization temperature of rice","Map-based cloning of the ALK gene, which controls the gelatinization temperature of rice",,106,100.00%,100.00%
Heat transfer properties of the numerical human body simulated from the thermal manikin,Heat transfer properties of the numerical human body simulated from the thermal manikin,Y Lu,11,100.00%,100.00%
Development of a Novel Fluorescence Polarization–Based Assay for Studying the β-Catenin/Tcf4 Interaction,Development of a Novel Fluorescence Polarization–Based Assay for Studying the β-Catenin/Tcf4 Interaction,X Han,6,100.00%,100.00%
Electron microscopy characterization of the weld line zones of an inertia friction welded superalloy,Electron microscopy characterization of the weld line zones of an inertia friction welded superalloy,,13,100.00%,100.00%
A novel method to control agglomeration of ultrafine YAl 2 particles in YAl 2p/MgLiAl composite,A novel method to control agglomeration of ultrafine YAl 2 particles in YAl 2p/MgLiAl composite,Z Huang,6,100.00%,100.00%
Structure−Activity Relationship Analysis of Peptides Targeting the EphA2 Receptor,Structure− activity relationship analysis of peptides targeting the EphA2 receptor,,37,33.33%,30.00%
Experimental study on horizontal wellbore cleanout by rotating jets,Experimental study on horizontal wellbore cleanout by rotating jets,,10,100.00%,100.00%
