A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,C Guo,89,100.00%,100.00%
Ferromagnetic Nanowire Effects on Singlet and Triplet Exciton Fractions in Fluorescent and Phosphorescent Organic Semiconductors,Effects of ferromagnetic nanowires on singlet and triplet exciton fractions in fluorescent and phosphorescent organic semiconductors,S Dai,37,33.33%,31.25%
Instability of graft copolymers under polymer blending conditions,Instability of graft copolymers under polymer blending conditions,,3,100.00%,100.00%
Effects of carbon nanotubes and their state of dispersion on the anionic polymerization of e -caprolactam: II. Rheology,Effects of carbon nanotubes and their state of dispersion on the anionic polymerization of ϵ‐caprolactam: 1. Calorimetry,,5,77.78%,82.35%
Non-linear viscoelasticity of vapor grown carbon nanofiber/polystyrene composites,Non-linear viscoelasticity of vapor grown carbon nanofiber/polystyrene composites,Y Zhou,7,100.00%,100.00%
Hydrogenated nitrile butadiene rubber and hindered phenol composite. II. Characterization of hydrogen bonding,Hydrogenated nitrile butadiene rubber and hindered phenol composite. II. Characterization of hydrogen bonding,,12,100.00%,100.00%
A two-step depressurization batch process for the formation of bi-modal cell structure polystyrene foams using scCO2,A two-step depressurization batch process for the formation of bi-modal cell structure polystyrene foams using scCO 2,,47,93.75%,88.24%
Development of new concepts for the control of polymerization processes: Multiobjective optimization and decision engineering. II. Application of a Choquet integral to an emulsion copolymerization process,Development of new concepts for the control of polymerization processes: Multiobjective optimization and decision engineering. II. Application of a Choquet integral to …,M Camargo L Morel,7,80.77%,95.45%
Photocontrolled microphase separation in a nematic liquid-crystalline diblock copolymer,Photocontrolled microphase separation in a nematic liquid–crystalline diblock copolymer,H Yu,30,88.89%,88.89%
Periodic Switching of Monomer Additions for Controlling the Compositions and Microstructures of Segmented and Random Ethylene-Propylene Copolymers in Polypropylene in-Reactor Alloys,Periodic switching of monomer additions for controlling the compositions and microstructures of segmented and random ethylene-propylene copolymers in …,,24,33.33%,38.89%
Dissipative particle dynamics and Flory-Huggins theories for predicting the rheological behavior of ultrahigh molecular weight polyethylene blends,Dissipative Particle Dynamics and Flory− Huggins Theories for Predicting the Rheological Behavior of Ultrahigh Molecular Weight Polyethylene Blends,,11,29.41%,27.78%
Effects of carbon nanotubes and their state of dispersion on the anionic polymerization of e -caprolactam: 1. Calorimetry,Effects of carbon nanotubes and their state of dispersion on the anionic polymerization of ϵ‐caprolactam: 1. Calorimetry,,5,88.89%,94.12%
Compatibilizing effect of acrylic acid modified polypropylene on the morphology and permeability properties of polypropylene/organoclay nanocomposites,Compatibilizing effect of acrylic acid modified polypropylene on the morphology and permeability properties of polypropylene/organoclay nanocomposites,LA Pessan,41,100.00%,100.00%
Blend composition dependence of the compatibilizing efficiency of graft copolymers for immiscible polymer blends,Blend composition dependence of the compatibilizing efficiency of graft copolymers for immiscible polymer blends,,10,100.00%,100.00%
Cold crystallization behavior of polyamide 6 in PS-g-PA6 graft copolymers,Cold crystallization behavior of polyamide 6 in PS‐g‐PA6 graft copolymers,H Shi,2,90.00%,90.00%
Numerical simulation and experimental validation of mixing performance of kneading discs in a twin screw extruder,Numerical simulation and experimental validation of mixing performance of kneading discs in a twin screw extruder,,58,100.00%,100.00%
Residence time distribution: an old concept in chemical engineering and a new application in polymer processing,Residence time distribution: an old concept in chemical engineering and a new application in polymer processing,,16,100.00%,100.00%
Investigation of pervaporation hybrid polyvinylchloride membranes for the separation of toluene-n-heptane mixtures - case of clays as filler,Investigation of pervaporation hybrid polyvinylchloride membranes for the separation of toluene–n-heptane mixtures—case of clays as filler,L Aouinti D Roizard M Belbachir,17,77.78%,87.50%
Multiple melting behavior of poly(lactic acid) filled with modified carbon black,Multiple melting behavior of poly (lactic acid) filled with modified carbon black,,29,90.91%,83.33%
Compatibility and phase structure of binary blends of poly(lactic acid) and glycidyl methacrylate grafted poly(ethylene-octene),Compatibility and phase structure of binary blends of poly (lactic acid) and glycidyl methacrylate grafted poly (ethylene octane),,139,86.67%,72.22%
Effects of crystal structure on the foaming of isotactic polypropylene using supercritical carbon dioxide as a foaming agent,Effects of crystal structure on the foaming of isotactic polypropylene using supercritical carbon dioxide as a foaming agent,,87,100.00%,100.00%
Dissipative particle dynamics study on the phase morphologies of the ultrahigh molecular weight polyethylene/polypropylene/ poly(ethylene glycol) blends,Dissipative particle dynamics study on the phase morphologies of the ultrahigh molecular weight polyethylene/polypropylene/poly (ethylene glycol) blends,,31,88.24%,88.24%
The relationship between heterogeneous structures and phase separation in synthesis of uniform PolyDVB microspheres,The relationship between heterogeneous structures and phase separation in synthesis of uniform PolyDVB microspheres,ZG Su,32,100.00%,100.00%
Porogen effects in synthesis of uniform micrometer-sized poly(divinylbenzene) microspheres with high surface areas,Porogen effects in synthesis of uniform micrometer-sized poly (divinylbenzene) microspheres with high surface areas,W Wei Z Su,47,92.31%,85.71%
Controlling Factors on Droplets Uniformity in Membrane Emulsification: Experiment and Modeling Analysis,Controlling factors on droplets uniformity in membrane emulsification: experiment and modeling analysis,,38,33.33%,33.33%
Supercritical carbon dioxide induced melting temperature depression and crystallization of syndiotactic polypropylene,Supercritical carbon dioxide‐induced melting temperature depression and crystallization of syndiotactic polypropylene,X Zhu,25,83.33%,90.91%
Effect of supercritical carbon dioxide assisted nano-scale dispersion of nucleating agents on the crystallization behavior and properties of polypropylene,Effect of supercritical carbon dioxide-assisted nano-scale dispersion of nucleating agents on the crystallization behavior and properties of polypropylene,,34,89.47%,94.44%
Preparation  and  characterization  of  polyurethane / multi - walled   carbon   nanotubes   composites  with  multi   functional   performance,Preparation and characterization of polyurethane/multi-walled carbon nanotubes composites with multi functional performance,LQ Zhang,2,34.38%,100.00%
Preparation and characterization of polyurethane/multi-walled carbon nanotubes composites with functional performance,[CITATION][C] Preparation and characterization of polyurethane/multi-walled carbon nanotubes composites with functional performance,L Zhang,24,100.00%,91.67%
An acrylic acid modified polypropylene as a compatibilizing agent for the intercalation/exfoliation of an organically modified montmorillonite in polypropylene,An acrylic acid modified polypropylene as a compatibilizing agent for the intercalation/exfoliation of an organically modified montmorillonite in polypropylene,,14,100.00%,100.00%
Efficiency of graft copolymers at stabilizing co-continuous polymer blends during quiescent annealing,Efficiency of graft copolymers at stabilizing co-continuous polymer blends during quiescent annealing,H Huang,48,100.00%,100.00%
Grafting of Polyamide 6 by the Anionic Polymerization of e-Caprolactam from an Isocyanate Bearing Polystyrene Backbone,Grafting of polyamide 6 by the anionic polymerization of ε‐caprolactam from an isocyanate bearing polystyrene backbone,,23,50.00%,50.00%
"Local residence time, residence revolution and residence volume distributions in twin-screw extruders","Local residence time, residence revolution, and residence volume distributions in twin‐screw extruders",,34,83.33%,83.33%
In-line measurements of the morphological parameters of PP/ PA6 blends during extrusion in the transient mode,In‐line measurements of the morphological parameters of PP/PA6 blends during extrusion in the transient mode,LA Pessan,28,81.25%,86.67%
Variations of the glass-transition temperature in the imidization of poly(styrene-co-maleic anhydride),Variations of the glass‐transition temperature in the imidization of poly (styrene‐co‐maleic anhydride),HY Liu,20,81.82%,75.00%
Determination of the molar mass of polyamide block/graft copolymers by size-exclusion chromatography at room temperature,Determination of the molar mass of polyamide block/graft copolymers by size-exclusion chromatography at room temperature,,25,100.00%,100.00%
Efficiency of graft copolymers as compatibilizers for immiscible polymer blends,Efficiency of graft copolymers as compatibilizers for immiscible polymer blends,,49,100.00%,100.00%
Nano-scale phenomena and applications in polymer processing,Nano-scale phenomena and applications in polymer processing,,18,100.00%,100.00%
Preparation of poly(ethylene terephthalate)/organoclay nanocomposites using a polyester ionomer as a compatibilizer,Preparation of poly (ethylene terephthalate)/organoclay nanocomposites using a polyester ionomer as a compatibilizer,,31,91.67%,84.62%
Foaming of polypropylene with supercritical carbon dioxide,Foaming of polypropylene with supercritical carbon dioxide,,198,100.00%,100.00%
Modelling of the kinetics of the supercritical CO2 assisted grafting of maleic anhydride onto isotactic polypropylene in the solid state,Modelling of the kinetics of the supercritical CO 2 assisted grafting of maleic anhydride onto isotactic polypropylene in the solid state,GS Tong,18,95.00%,90.48%
Supercritical carbon dioxide-assisted solid-state free radical grafting of methyl methacrylate onto polypropylene,Supercritical carbon dioxide-assisted solid-state free radical grafting of methyl methacrylate onto polypropylene,GS Tong,27,100.00%,100.00%
Dissipative particle dynamics simulation of gold nanoparticles stabilization by PEO-PPO-PEO block copolymer micelles,Dissipative particle dynamics simulation of gold nanoparticles stabilization by PEO–PPO–PEO block copolymer micelles,,50,92.31%,92.31%
Experimental study and dissipative particle dynamics simulation of the formation and stabilization of gold nanoparticles in PEO-PPO-PEO block copolymer micelles,Experimental study and dissipative particle dynamics simulation of the formation and stabilization of gold nanoparticles in PEO–PPO–PEO block copolymer micelles,HZ Liu,22,95.00%,95.00%
Effect of Hydrophobicity inside PEO-PPO-PEO Block Copolymer Micelles on the Stabilization of Gold Nanoparticles: Experiments,Effect of Hydrophobicity inside PEO− PPO− PEO Block Copolymer Micelles on the Stabilization of Gold Nanoparticles: Experiments,JH Ma,70,93.33%,82.35%
"Supercritical carbon dioxide-assisted dispersion of sodium benzoate in polypropylene and crystallization behavior of the resulting polypropylene,",Supercritical carbon dioxide‐assisted dispersion of sodium benzoate in polypropylene and crystallization behavior of the resulting polypropylene,,19,93.75%,87.50%
Enhanced interactions between multi-walled carbon nanotubes and polystyrene induced by melt mixing,Enhanced interactions between multi-walled carbon nanotubes and polystyrene induced by melt mixing,,130,100.00%,100.00%
Effects of low molar mass additives on the molecular mobility and transport properties of polysulfone,Effects of low molar mass additives on the molecular mobility and transport properties of polysulfone,,10,100.00%,100.00%
Relaxation behavior of polymer blends with complex morphologies: Palierne emulsion model for uncompatibilized and compatibilized PP/PA6 blends,Relaxation behavior of polymer blends with complex morphologies: Palierne emulsion model for uncompatibilized and compatibilized PP/PA6 blends,,50,100.00%,100.00%
Follow-up of the course of the anionic ring-opening polymerization of lactams onto an isocyanate bearing polymer backbone in the melt,Follow‐up of the course of the anionic ring‐opening polymerization of lactams onto an isocyanate‐bearing polymer backbone in the melt,,9,80.00%,84.21%
Anionic polymerization of lactams: A comparative study on various methods of measuring the conversion of ε-caprolactam to polyamide 6,Anionic polymerization of lactams: A comparative study on various methods of measuring the conversion of ε‐caprolactam to polyamide 6,,37,94.74%,94.74%
